Date,Team1,Team2,Final Result 1,Final Result 2,Tournament,Link Stats
10th of February 2020,Recon 5,Mythic,1,2,Americas Minor North America Open Qualifier 3 - ESL One Rio 2020,https://www.hltv.org//stats/matches/72160/recon-5-vs-mythic
10th of February 2020,Rap Gang,Divine,1,2,Americas Minor North America Open Qualifier 3 - ESL One Rio 2020,https://www.hltv.org//stats/matches/72159/rap-gang-vs-divine
9th of February 2020,Apeks,Pompa,2,1,Europe Minor Open Qualifier 3 - ESL One Rio 2020,https://www.hltv.org//stats/matches/72158/apeks-vs-pompa
9th of February 2020,Complexity,Natus Vincere,0,2,BLAST Premier Spring Series 2020,https://www.hltv.org//stats/matches/72157/complexity-vs-natus-vincere
9th of February 2020,AGO,Pompa,20,22,Europe Minor Open Qualifier 3 - ESL One Rio 2020,https://www.hltv.org//stats/matches/mapstatsid/98505/pompa-vs-ago
9th of February 2020,KOVA,Endpoint,2,0,Europe Minor Open Qualifier 3 - ESL One Rio 2020,https://www.hltv.org//stats/matches/72155/kova-vs-endpoint
9th of February 2020,Lyngby Vikings,Apeks,11,16,Europe Minor Open Qualifier 3 - ESL One Rio 2020,https://www.hltv.org//stats/matches/mapstatsid/98502/lyngby-vikings-vs-apeks
9th of February 2020,Natus Vincere,Vitality,2,0,BLAST Premier Spring Series 2020,https://www.hltv.org//stats/matches/72153/natus-vincere-vs-vitality
9th of February 2020,Endpoint,fakemaquinas,22,19,Europe Minor Open Qualifier 3 - ESL One Rio 2020,https://www.hltv.org//stats/matches/mapstatsid/98497/endpoint-vs-fakemaquinas
9th of February 2020,KOVA,SKADE,16,13,Europe Minor Open Qualifier 3 - ESL One Rio 2020,https://www.hltv.org//stats/matches/mapstatsid/98496/kova-vs-skade
9th of February 2020,EXTREMUM,Unique,0,2,WESG 2019 Russia Closed Qualifier,https://www.hltv.org//stats/matches/72150/extremum-vs-unique
9th of February 2020,DivisionX,SHIFT,0,2,Vietnam Pro League Season 3,https://www.hltv.org//stats/matches/72149/divisionx-vs-shift
